name,team,jersey_number
"RATKE, Ethan",,0
"PATTEN, Jacob",,0
"THOMAS, Caleb",,92
"JOACHIM, Christian",,0
"POWELL, Taylor",Hamilton Tiger-Cats,7
"FISCELLI, Dominick",,0
"HENRY, Peyton",,0
"YOUNG IV, Lummie",,0
"JOHNSON, RaJae",,85
"CHRISTMON, Devious",,0
"WESTFIELD, Braxton",,0
"WAHRHEIT, Roman",,65
"NELSON II, Hugh",,0
"WILLIAMS, Jauan",,0
"WOODRUFF, Kory",BC Lions,64
"FULGHAM, Travis",,8
"SZAFRANSKI, Riley",,0
"PEARCE, Aidan",,0
"BLADES, Elijah",,44
"OBICHERE, Divine",,0
"SADDLER, Ryan",,49
"O'SHEA JR, Michael",,0
"DEAN, Devontae",,0
"RUNGE, Morgen",Saskatchewan Roughriders,39
"BASALYGA, James",,0
"JACKSON, Damian",,48
"LANIER, Otis",,0
"RAVENEL, Devin",,84
"HARRIS, Justus",,0
"COOPER, Marcus",,0
"TALBERT, Destin",Hamilton Tiger-Cats,25
"NDUKWE, Toby",,94
"SHORTS, Tre'Mond",,0
"KOFFIE, Komotay",,0
"CENTERS, Drake",,55
"SALEH, Phil",,0
"BENTON, Markail",,0
"BLACKETT, Dyton",,0
"DALE, Matt",,0
"APPIAH-KUBI, Gabriel",,0
"WORSHIP, Maxwell",,0
"HALE, Cody",,0
"EMBRY, Jalen",,0
"LEWIS, CJ",,84
"HOLMES, Des",Montreal Alouettes,60
"RHYNE, Forrest",,0
"ONYECHI, CJ",,0
"MCGHEE, Alijah",Winnipeg Blue Bombers,29
"PIGROME, Tyrrell",,13
"BOATMAN, Jordan",,0
"VANDAL, Anthony",Toronto Argonauts,58
"CHARBONNEAU, Max",,39
"ROBERTSON, Lucas",,44
"LAVALLEE, Maxym",,39
"MORIN, Caleb",,80
"BEST, Derek",,32
"HYER, Josh",,96
"MURPHY, Brendan",,16
"ROSERY, Jonathan",,28
"HINSPERGER, Jack",,43
"THOMAS, Nick",,47
"Polk, Amlicar",,34
"FLOREN, Evan",,70
"LAGACE, Bruno",,31
"FEDCHUN, Alexander",,94
"ONYEMENAM, Ife",,35
"MACDOUGALL, Breton",,31
"FAIR, Campbell",,70
"MASTERSON, Spencer",,65
"HOWARD, Sebastian",,0
"BURTON, Richard",,83
"SEGUIN, Quintin",,51
"PARADIS, Edouard",,74
"KORNELSON, Collin",,97
"RINGLAND, Charlie",Ottawa Redblacks,24
"LEDER, Ryan",Calgary Stampeders,49
"FERVIUS, Shedler",,87
"PANABAKER, Robert",Hamilton Tiger-Cats,24
"MASON, Jacob",Montreal Alouettes,38
"BEAULIEU, Bertrand Terancy",,48
"PERRY, Daniel",,87
"NICHOLS, Spencer",,25
"SCHMEKEL, Tanner",Winnipeg Blue Bombers,96
"MARCOUX, Alexandre",,0
"GRANT, Theo",,69
"MARTIN, Reece",,93
"BERTRAND-HUDON, Thomas",Saskatchewan Roughriders,30
"BURKE JR, Patrick",Hamilton Tiger-Cats,29
"CURTIS, Noah",Edmonton Elks,92
"GUILLEMETTE, Adam",Toronto Argonauts,47
"Murphy, Jeremy",Ottawa Redblacks,87
"White, Josh",Ottawa Redblacks,44
"BARNES, Clark",Calgary Stampeders,14
"BURTON-KRAHN, Luke",Edmonton Elks,52
"BOAHEN, Kwadwo",,98
"DEAN, Matt",,33
"GROHOVAC, Phillip",,59
"JOHN, Aidan",Ottawa Redblacks,93
"TAYLOR, Jacob",,13
"OLADEJO, Daniel",Montreal Alouettes,83
"KELLY, Jake",Winnipeg Blue Bombers,16
"BAGAYOGO, Siriman Harrison",Hamilton Tiger-Cats,28
"DALLAIRE, David",Montreal Alouettes,39
"PETER, James",Ottawa Redblacks,42
"FORD, Jaxon",Saskatchewan Roughriders,21
"CORMIER, Lucas",Ottawa Redblacks,19
"BEMIY, Francis",Edmonton Elks,93
"BENNETT, Anthony",BC Lions,93
"UGUAK, Lwal",Montreal Alouettes,96
"BLACK, Dayton",,50
"TUCKER, Cole",Calgary Stampeders,88
"KORTE-MOORE, Lake",Saskatchewan Roughriders,49
"BRODRIQUE, Michael",Edmonton Elks,44
"JONES, Josh",,0
"POISSANT, Kieran",BC Lions,82
"CASE, Kody",Winnipeg Blue Bombers,2
"BULL, Dontae",Ottawa Redblacks,50
"COUNCIL, Brandon",,61
"FALOLA, Emmanuel",,71
"SCHMITZ, Karl",,26
"BYRNS, Rhys",,70
"BALDONADO, Habakkuk",Saskatchewan Roughriders,95
"LAVIN, Lucas",,69
"GACHUZ LOZADA, Alfredo",,71
"SHEAHAN, Jamieson",Winnipeg Blue Bombers,18
"ROBINSON, Jevoni",Hamilton Tiger-Cats,84
"MOORE, Isaac",,67
"SANDBERG, Simon",,0
"PAVIHI, Penei",,45
"KORSAK, Adam",Saskatchewan Roughriders,10
"FAITHFULL, Dean",,18
"TA'ALA, Blessman",Ottawa Redblacks,55
"CHATTMAN, Clifford",Calgary Stampeders,28
"WILSON, BJ",,0
"FISHER-MORRIS, Kyrei",,0
"DIXON, Christian",,0
"WINSTEAD, Isaiah",,89
"UMUNAKWE, Chizi",,45
"DEMUS, Dontay",,14
"BRAMMER, Jacob",Saskatchewan Roughriders,66
"BLACK, Eric",,94
"BOONE, Adonis",,0
"HARRIS, Jalen",,95
"MCGRIFF, Justin",Edmonton Elks,13
"COLEMAN, DJ",,50
"REDD, Justin",,69
"TAYLOR, Noah",Edmonton Elks,42
"SIDDIQI, Amir",,93
"THOMPSON, Dwayne",,37
"PIERCE, Mason",,28
"FLOWERS-LLOYD, Carthell",,43
"BORDNER, Brendan",Hamilton Tiger-Cats,53
"HENRY, Ryan",,0
"BALL, Frank",,0
"JOHNSON, Moses",,0
"HERSLOW, Jake",Toronto Argonauts,87
"Sartor, Kendrick",,66
"WELDON, Brandon",,56
"EASTERLING, Brandon",,0
"ADEWUMI, Joshua",,0
"AMOAH, Nicholas",,0
"OROZCO, Marc",,0
"LAMSON, Colton",,0
"SULLIVAN-BROWN, Cam",,0
"HARVELL-PEEL, Kolby",,0
"MAIJEH, Ifeanyi",,0
"CRAY JR, Roger",,0
"HICKS, Kalen",,0
"MITCHELL II, Antonio",,28
"HARRISON, Quan",,0
"AKANNO, Charles",,0
"IVY, Christopher",,57
"ATEMAN, Kelvin",,0
"HENRY, TaZhawn",,0
"PAU'U, Neil",,0
"GRIDER, Gannon",,0
"GRISOLIA, Tyler",,0
"BRASWELL, Montrae",,0
"FLEET-DAVIS, Tayon",,34
"AFFUL JR., Peter",,0
"LAWSON, Dexter",Winnipeg Blue Bombers,27
"BECKETT, Joe",,0
"LABORN, Khalan",,30
"GETTMAN, Noah",Ottawa Redblacks,0
"SANDERS, Ye'Majesty",,0
"GARNER, Gavin",,0
"Daughtry, Bryson",,72
"HABA, Celestin",,43
"STANLEY, Gee",,0
"ALLEN, Brevin",,77
"COLEMAN, Cole",,0
"WITHERSTONE, Anthony",,39
"SANDERS, Bentlee",,38
"KAHO'OHANOHANO-DAVIS, La'akea",,0
"Lewis, Tareke",,0
"EAGLES, Brennan",,0
"BYNUM, Devodric",Edmonton Elks,16
"GARBUTT, TyJuan",Hamilton Tiger-Cats,9
"Brown, Shakel",,56
"TUGGLE, De'Montre",,16
"FERGURSON, Javahn",,0
"CHUKWUMEZIE, Stacy",,0
"GIVHAN, Nate",Winnipeg Blue Bombers,36
"JOHNSON III, Cephus",,74
"CHARLES, Julian",,27
"KING, Isaiah",,4
"BESSENT, Desmond",,0
"MCINTOSH, Deon",,0
"HALL, Billy",,0
"STATON, Chandler",,0
"MEVIS, Andrew",,9
"CALDWELL, Javion",,0
"FAULK, Julius",,0
"VELTRI, Jordan",,0
"ACY, DeMarkus",,0
"PARKER, Brooks",,41
"DOEGE, Jarret",Toronto Argonauts,7
"TAYLOR, Jadrian",,0
"BENNETT, Kivon",,97
"DUKES, Cameron",,18
"LUTHER, TJ",Edmonton Elks,89
"ANTWINE, Israel",,95
"TURAY, Kemoko",BC Lions,58
"NUNN-LIDDELL, Jai",,39
"RICE, Chris",,0
"GRIFFIN II, Michael",Winnipeg Blue Bombers,32
"MCDANIEL, Daviyon",,0
"DARAMY-SWARAY, Abu",,15
"JACKSON JR, Calvin",,0
"MOULTRIE, Antonio",,99
"MOORE, KeShaun",,0
"LEWIS, Jordan",,0
"TYSON, Kyshonn",,0
"DAVIS, Timarcus",Montreal Alouettes,0
"BYRD, BJ",,87
"KENNEDY, Michael",,0
"Stubblefield, Reggie",Hamilton Tiger-Cats,1
"BEAULIEU, Charles-Antoine",,0
"FAGOT, Diego",,48
"CALLIS, Cooper",,0
"MEEKS, Quenton",,40
"REID, Trevor",,61
"EDWARDS, Jamare",,0
"SANDERS, Adonicas",,0
"DAVIS, Cortez",,0
"Schad, Keonte",Edmonton Elks,0
"JAMES, Keyshawn",,0
"EROMOSELE, Osaro",,0
"BRUNSON, TJ",,47
"ANDREWS, Nick",,0
"MURRAY, Tyler",Hamilton Tiger-Cats,0
"EVANS II, Mark",Edmonton Elks,61
"BARROW, Quinton",Hamilton Tiger-Cats,59
"EBERHARDT, Ayden",BC Lions,19
"YOUNG JR, Michael",,0
"BROWN, Jordan",,0
"REED, JR",,29
"LAMONT, Deandre",Ottawa Redblacks,33
"YOUNG, Al",,0
"HILL, Kylin",,32
"SPRINGER, Jake",,0
"HARRIS, Keilahn",,77
"AYERS, Michael",Winnipeg Blue Bombers,49
"GEORGE JR, Kenneth",Toronto Argonauts,33
"HAFFORD, Devin",,0
"ANCTIL, Devin",,0
"VANTERPOOL, Micah",Winnipeg Blue Bombers,68
"HUFF, Isaiah",,0
"COWINS, Wallace",,0
"DONOVAN, Joshua",Toronto Argonauts,65
"KENT JR, Ronald",BC Lions,21
"LINDSEY, Tyjon",,88
"WILLIAMS, Malik",,0
"WILSON, Ontaria",Winnipeg Blue Bombers,80
"JOHNSON, Leonard",Edmonton Elks,32
"LEMIEUX-CARDINAL, Philippe",Montreal Alouettes,90
"BYRD, Jordan",,80
"O'NEAL JR, Leon",,32
"RODGERS, Kordell",,25
"Shropshire, Trea",,79
"SANDERS, Caleb",Saskatchewan Roughriders,92
"HILL JR, Tyrone",,0
"RANDOLPH, Kendall",Winnipeg Blue Bombers,69
"BELL, Levi",BC Lions,98
"LEE, Edward",,2
"STEWART, Donald",,0
"ROUNTREE, RJ",,0
"PRICE JR, Kendrick",,0
"BATEMAN, Toryque",,0
"BLUE, Anthony",,0
"LETCHER JR, James",Montreal Alouettes,89
"GRAY, Kai",,5
"MELSOP, Nicolas",Hamilton Tiger-Cats,67
"MARTIN, Oliver",,0
"FROST, Harrison",Hamilton Tiger-Cats,18
"TAVAI, Jonah",BC Lions,99
"CAUSEY, Rashard",,0
"STIGGERS, Qwan'tez",,42
"GRAY, Tony",,0
"REYNOLDS, Chris",,17
"PATRICK, Natrez",,0
"GALLIMORE, Lio'undre",,81
"MACK, Austin",Montreal Alouettes,81
"HALL, Jaylen",,87
"CLARK, Trevon",,0
"WARD JR, Alvin",,0
"MOORE, Lonnie",,0
"WILLIAMS, Deontai",BC Lions,9
"WATSON, Kendall",,88
"NEWELL, Terrance",,0
"FLETCHER, Jordan",,0
"THOMAS, Kelon",Calgary Stampeders,77
"NELSON, Nick",,0
"ROSE-WATSON, Elijah",,0
"MOORE, Chris",,46
"JOHNSON, Mekhai",,0
"VALENTINE-TURNER, Josh",,39
"BENENOCH, Caleb",,64
"JACKSON, Joseph",,97
"BROOKS, Lyndemian",,0
"WEBB, Jeremy",,0
"TURNER, Tre",,0
"MATOCHA, John",,0
"SIMS, CJ",,16
"TURNETINE, Jazston",,60
"TUCKER, Jordan",,62
"RODGERS, Bryce",,0
"ANDERSON, Nick",Edmonton Elks,48
"WRIGHT, CJ",,0
"BYERS, Akial",,0
"CLEMONS, Rodney",,39
"WASHINGTON, Denzel",,0
"HIFO, Aleva",,0
"MARSHALL, Justin",,6
"CHEN, Jacky",,0
"JACKSON, Samuel",,0
"VEREEN, Will",,0
"FLOWERS, Malik",,88
"BROOKS, Shannon",,22
"FFRENCH, Maurice",,23
"DILEO, Vincent",,0
"BRADFORD, Trevon",,0
"OLIVER, Kaleb",,0
"STERNS, Jerreth",Winnipeg Blue Bombers,89
"CORBIN III, Keith",,0
"HARRIS, De'Michael",,0
"HAMM, Brodarious",,0
"RAGAS, Trey",,41
"THOMAS, Tabashi",,0
"RICHIE, Tyrice",,0
"PARKER, Jake",,0
"HIERS, Michael",,16
"SOLIE, David",,0
"MANAC, Chauncey",,17
"HOLMES, Quay",,0
"CARTER, Jeffery",,0
"BEGUE, Trevor",,0
"JONES, CJ",,0
"THOMAS, Skyler",,0
"MCCLAIN, Zakoby",,57
"STONER, Dillon",,0
"DELINCE, Karon",,0
"ANYALEBECHI, Kelechi",Calgary Stampeders,51
"CENTEIO, Todd",,1
"HARRISON, Roman",,0
"RAMIREZ, Jose",Hamilton Tiger-Cats,94
"MCMAHON, Deonta",Toronto Argonauts,24
"WAEGE, Spencer",Hamilton Tiger-Cats,0
"MIDDLETON, Darel",,75
"JACKSON, Matthew",,30
"PARISH, Derek",Toronto Argonauts,97
"WILLIAMS, Jordan",Edmonton Elks,90
"KNUETTEL, Timothy",,0
"BLACKMON, Ronnie",,38
"DURHAM, Ivory",,0
"COLLIER, Tony",,26
"EDOUARD, Jonathan",Toronto Argonauts,41
"WILLIAMS, Caesar",,0
"JACKSON, Dontavious",,0
"MULJO, Payton",,0
"ALBRIGHT, Christian",Ottawa Redblacks,97
"HODGE, Changa",,0
"ALEXANDER, Jaylan",,0
"HARDING, Rashaad",,0
"GAULDEN, Rashaan",Winnipeg Blue Bombers,0
"HARRIS, Malik",,0
"WEAVER, Curtis",,0
"JONES, Devin",,0
"BALTRIP, Jeremiah",,0
"MOORE, George",Toronto Argonauts,56
"GODWIN II, Terry",,5
"VEREEN, David",,43
"ENTO, Kabion",Montreal Alouettes,48
"GRAINGER, Darren",Winnipeg Blue Bombers,0
"DAVIS JR., Shabari",,0
"OZOUGWU, Joe",Montreal Alouettes,0
"COFIELD, Adam",,0
"STEELE, Chris",,0
"SNEAD, Tyler",Montreal Alouettes,85
"HEWITT, Jarrod",,99
"TOLSON, Khalan",,0
"LOWE, Duron",BC Lions,29
"MOULTRY, TD",,97
"BERRYHILL, Stanley",BC Lions,83
"TATE, Auden",,0
"DENG, Kuony",,0
"WILLIAMS, Charles",,0
"MARTIAL, Carlton",,0
"JOHNSON, Jamar",,0
"ROSE, AJ",,0
"HOLDER, Cyrus",,0
"JAMES, Tyshaun",,0
"DELANCE, Jean",,59
"HARRIS, Travell",,0
"WARD, Tim",,0
"ABRAM, Keshunn",,80
"TAYLOR, Carson",,0
"MCDANIEL, Ryan",,0
"WILEY, Charles",Calgary Stampeders,93
"TEXADA, Raleigh",,0
"COAN, Jack",Saskatchewan Roughriders,14
"WILLIAMS, Devon",,0
"BRIDGES, Shemar",Hamilton Tiger-Cats,17
"WRIGHT, Daniel",,0
"AVERY, CJ",Saskatchewan Roughriders,35
"GARNETT, Andrew",,60
"JOHNSON, Tyree",,0
"MOSELY, Quandre",,45
"DUNNIWAY, Jake",,16
"EVANS JR, Nate",,46
"HARDY, Jaquan",,27
"LUCIER-SOUTH, Keisean",,77
"HESLOP, Gavin",Ottawa Redblacks,37
"SEIDNALY, Nour-Eddine",,0
"RICE, Justin",,33
"DILWORTH, Aaron",,0
"WITT, Tyler",,0
"BROWN, Kevin",,3
"EMMONS, BJ",,28
"MCLAURIN, Mark",,8
"TCHANGAM, Alex",,93
"DAVIS, Javaris",Winnipeg Blue Bombers,0
"HOWARD JR., Jerry",,0
"LARYEA, Simon",,35
"LIMU-JONES, Talolo",,0
"McNary Jr., Dishon",,47
"HILL II, KJ",,0
"OLONILUA, Sewo",,0
"SMALL, Seth",,47
"ABRAHAM, Victor",,0
"PINCKNEY, Nyles",,99
"NELSON, Ryan",,0
"ALI, Josh",,82
"BARLOW, Brandon",Edmonton Elks,4
"HLAVA, Jake",,0
"HOLM, Evan",Winnipeg Blue Bombers,31
"REDD, Jaylon",,0
"EVANS, Will",,0
"FOX, Miles",Hamilton Tiger-Cats,91
"CARTER, Bryce",Ottawa Redblacks,91
"SINGLETON, Ralph",,0
"WILLIAMS, Donnell",,0
"ASHLEY, Ka'Ron",,0
"DAVIS, Dominic",,0
"BARNETT, Ezekiel",,0
"ALLEN, Will",,0
"LEE, Dejoun",,0
"ROSENTHAL, Dare",,0
"HICKS-ONU, Omar",,0
"SONNIER, Malik",,5
"HARPER, Felix",,0
"MANCUSO, Joe",,15
"BAKER, Ja'Chai",,0
"JOHNSON, TJ",,0
"ROBERTSON, Demetris",,0
"GREEN, Blake",,0
"BROWN, Elliott",,41
"CLAIBORNE, Stefan",,0
"MASSIE, Bronson",,0
"PARKER, Jamal",Winnipeg Blue Bombers,7
"WALKER, Reggie",,0
"RILEY, Tyrone",,62
"SPIELMAN, JD",,0
"LITWIN, Henry",,0
"KRAMER, Weston",,95
"MONTEZ, Steven",,12
"ROSS, Tremaine",,0
"SAULSBERRY, Christian",,25
"GAYLE, Alex",,0
"DUBOIS, Kevin",,0
"JOSEPH, Katley",,0
"FLORIEA, Jake",,0
"APPIAH, Kofi",,0
"WOODS, JD",,0
"BECK, Traveon",,0
"STANLEY, Mi'Cario",,0
"CRAWFORD, Dashawn",,0
"BOSTON, Andrew",,0
"BARNES, Vance",,0
"YOUNG, Troy",,38
"HEADEN III, Charles",,0
"MUCKELVENE, BJ",,0
"HAMMONDS, T.J.",,0
"TAYLOR, Darian",,0
"SALTER, Tavonn",,0
"SCARVER, Savon",,81
"DAVIS, Kailon",,0
"BUCHANAN, Baylen",,0
"JACKSON, Javon",,0
"URSUA, John",,85
"THOMAS, Justin",,0
"DAVIS, Ben",,39
"CHRISTMAS, Demarcus",Toronto Argonauts,93
"STERLING, Aaron",,0
"CHAVES, Simon",Toronto Argonauts,46
"MCMILLAN, Luke",,0
"BARBER, Blaise",,0
"CHASE, Justin",,0
"BRADLEY, Clayton",,51
"BROOKS, Mark",,0
"SANFORD, Brandon",,0
"RAYAM, T.J.",,97
"ADEWUSI, Tenny",,0
"LIGHTBOURN, Caleb",,0
"MOORE, David",,0
"MACLEAN, Christopher",,0
"NOLL, Braydon",Saskatchewan Roughriders,59
"LARRY, LeVonte",,0
"BURTENSHAW, Konner",,32
"CIRAOLO-BROWN, Jaxon",,22
"BOERSMA, Riley",,83
"PEZZUTO, Michael",,91
"AMOAKO, Daniel",,25
"LINDLEY, Zach",,18
"PERRIER, Luca",,33
"EDWARDS, Nate",,55
"LAVIGNE, Cedrick",,26
"GUAY, Nicolas",,63
"HERZOG, Zach",,0
"ARSENEAU, Chase",,0
"ST-LOT, Shaquille",,29
"CHIHAT, Yanis",Montreal Alouettes,46
"ROSS, Connor",,81
"CIMANKINDA, Jean-Paul",,0
"KAPELANSKI, Jeremy",,59
"PIERRE, Khadeem",,5
"DALKE, Jayden",Saskatchewan Roughriders,38
"SUTTON, Eric",,36
"KOZUSHKA, Peter",,60
"OYESORO, Subomi",,43
"DOMINIQUE, Jeremie",,23
"CIGUINEAU, Chris",,26
"BEEKSMA, Jared",,43
"FLEURY, Tristan",,21
"KWAMOU, Daniel",,49
"GIRAUD, Ryth-Jean",,28
"PICKETT, Riley",BC Lions,45
"APPOLON, Woodly",BC Lions,35
"APPOLON, Wesly",,48
"ADAMSON, Cole",,96
"SMITH, Kiondre",Hamilton Tiger-Cats,85
"BRINGI, Tommy",,30
"COPELAND, Tysen-Otis",,30
"GREENE, Adrian",Calgary Stampeders,0
"VALENTE, Daniel",,23
"COBB, Gavin",Winnipeg Blue Bombers,82
"VARGA, Ryder",Toronto Argonauts,42
"ADJEY, Peter",Ottawa Redblacks,53
"ALATORRE MONTOYA, Diego",,75
"PENNEY-LARYEA, Enoch",,41
"FORBES-MOMBLEAU, Vincent",,82
"ARCHIBALD, Joshua",Montreal Alouettes,97
"BRUGGELING, Keaton",Hamilton Tiger-Cats,87
"BIEN-AIME, Marc-David",,71
"PLAMONDON, Jacob",Edmonton Elks,46
"BROWN, Rodeem",Calgary Stampeders,63
"FEDERICO, Anthony",Calgary Stampeders,94
"FRY, Zack",Saskatchewan Roughriders,67
"ADEBOBOYE, Daniel",Ottawa Redblacks,25
"SCHAKEL, Josiah",Edmonton Elks,41
"FORD, Tyrell",Edmonton Elks,30
"ZERR, Noah",Saskatchewan Roughriders,68
"HOGAN-SAINDON, Cyrille",Montreal Alouettes,59
"Knight, Deionte",Ottawa Redblacks,96
"PHILPOT, Tyson",Montreal Alouettes,6
"FORD, Tre",Edmonton Elks,2
"EMILUS, Samuel",Saskatchewan Roughriders,19
"MACKELLAR, Gregor",Edmonton Elks,67
"PHILPOT, Jalen",Calgary Stampeders,85
"MAKONZO, Enock",Winnipeg Blue Bombers,43
"CHERRY, Nathan",BC Lions,91
"PELEHOS, Zack",Ottawa Redblacks,52
"RICHARDS, Tyrell",Montreal Alouettes,42
"BALLINAS, Gabriel",,0
"DEVINE-SCOTT, Bailey",Calgary Stampeders,21
"BEARD-AIGRET, Maceo",,0
"AMORIM, Otavio",,0
"GAGLIANONE, Rafael",,0
"OKONTA-WARISO, Simeon",,74
"RUOSS, Lukas",,35
"KARAMOKO, Souleymane",,42
"JEAN-ALPHONSE, Edris",,41
"HAYES, Blake",,41
"HACKETT, Tom",,0
"LOGAN, Peyton",Winnipeg Blue Bombers,4
"GENMARK-HEATH, Jordan",,52
"HAGGERTY, John",Toronto Argonauts,29
"FLINT, Bailey",,26
"SPIEKER, Cole",Montreal Alouettes,17
"MCCORMICK, Reece",,0
"SCHICK, Riley",,79
"KLASSEN, Connor",,0
"WITHERSPOON, Michael",,0
"COVINGTON, Justin",,0
"HANNIBAL, Zach",,0
"TURNER, Julius",,0
"DURLEY, Cam",,57
"JONES, Amare",,81
"FAYAD, Ali",,98
"STORMENT, T.J.",,0
"ELLIS, Jabari",,99
"COOPER, DeJuan",,15
"WHEATFALL, Keric",Winnipeg Blue Bombers,88
"MESKELL, Ryan",,71
"BARDWELL, Dennis",,0
"JOHNSON, Konnor",,0
"JOHNSON, Noah",,0
"HAYES JR, Robert",,0
"WEBB, Marcus",,0
"HICKSON, Frankie",,20
"WILLIAMS, Casey",,0
"KIELY, Will",,92
"HEMBY, Ky'el",,0
"GEIGER, Kaylon",,89
"JOHNSON, Aron",,69
"MOALA, Inoke",,0
"HENINGER, Nick",,43
"WOODS III, Lawrence",Hamilton Tiger-Cats,37
"HOLLOWAY, Luke",,0
"MOORE, Marcus",BC Lions,95
"RANDALL, Kenneth",Winnipeg Blue Bombers,0
"RICHARDSON, Kooper",,66
"COATNEY, Josiah",,74
"ADAMS, Tyrie",Ottawa Redblacks,7
"DEBROSSARD, Darion",,0
"MORRISON, TJ",,0
"FOSTER, Andrew",,0
"DUBOIS, Hasise",,0
"HICKEY, Jeremy",,0
"WALL, Titus",,31
"HECKSTALL, Devin",,0
"PRALL, Jakob",,84
"BEAUDRY, Michael",,35
"MACK, William",,52
"KEMP, Brandon",Toronto Argonauts,61
"BERNER, Jordan",,0
"EVANS, Darren",,0
"FRANKLIN, Benjie",Toronto Argonauts,23
"JONES, Jonathan",Ottawa Redblacks,30
"OSUJI, Uzoma",,57
"HARRIS, Deion",,0
"ARCONADO, Brandon",,0
"JAMERSON, Natrell",,16
"POLK, Makai",Toronto Argonauts,15
"ARISTILDE, Dieuly",,82
"WILLIAMS, McKinley",,40
"McAllister, Tyreik",,35
"DOTSON, Meiko",,33
"THOMAS, DQ",,20
"HOLDEN, Caleb",,26
"BRINKMAN, Jared",Edmonton Elks,91
"ROSCOE, Cody",,0
"CLUCAS-WARREN, Tyler",,0
"HARRISON, Tavaris",,81
"WYNN, Devin",,0
"DIXON, Keyion",,0
"JORDAN, Jace",,0
"FREEMAN, Fulani",,0
"DURR, Coney",,0
"RICHARDSON, AJ",,7
"CHARLES-PIERRE, Olivier",,99
"GLEDHILL, Matt",,0
"DANIEL, DJ",,35
"JOHNSON, Sterling",,0
"CHARACTER, Marlon",,0
"MCCROREY, Kyle",,0
"NWANKWO, Obinna",,0
"DANIELS, Mar'Quess",,0
"ROBITAILLE, Mathieu",,0
"FOSHEE, Jake",,0
"AMOS, D'Angelo",,0
"LOWERY, Damien",,0
"POLITE, Jachai",,39
"TAYLOR, LeVonta",,0
"ONYEKA, Kosi",,31
"NUNN, Antonio",,0
"PHILYOR, Mister",,0
"RUTLEDGE, Donald",,38
"MCCLAIN, Marquis",,85
"REAVIS, CJ",Saskatchewan Roughriders,1
"BROWN, Miles",Calgary Stampeders,90
"MOMOKA, Justice",,0
"LUCAS, Jordan",,0
"WASHINGTON, Keith",,0
"VALVANO, Antonio",,0
"HARGROVE, Bryce",,0
"SCHOEN, Dalton",Winnipeg Blue Bombers,83
"SIMMONS, TJ",,0
"HOWARD, Keon",,0
"ODOMS-DUKES, Tre",,88
"HOSKINS, Anthony",,10
"WALKER, Michael",,0
"LATTIMORE, Cedrick",,95
"HYMAN, Ishmael",,81
"WHITTINGTON, Terry",,0
"REDFIELD, Floyd",,0
"SYKES, Dionte",,0
"BURNS, Lorenzo",Montreal Alouettes,20
"HARRIS, Christopher",,0
"SCARLETT, Jordan",,0
"ROBERTS, Terrance",,0
"GARNER, Jerry",,0
"JOHNSON, Josh",,14
"NEWMAN, Warren",,0
"HAMPTON, Saquon",,0
"MCKEVER, Pharoah",,90
"RUFFIN, Dionte",Montreal Alouettes,22
"JEFFERSON, Noah",,0
"WILKERSON, Matthew",,0
"HICKS, Clarence",Calgary Stampeders,12
"LEE, Darta",,63
"HODGES, Temuchin",,0
"SHAW, Bradrick",,0
"BROWN, Tony",,0
"RUGAMBA, Emmanuel",,33
"FORNADEL, Liam",,0
"SMITH, Breylin",,0
"WATKINS, Austin",,0
"HOLLEY, Ralph",Toronto Argonauts,99
"NOTREE, Bryce",,0
"WILSON, Terry",Winnipeg Blue Bombers,3
"BUTLER, Hakeem",,81
"TAYLOR, Demetrius",BC Lions,73
"TAYLOR, Calvin",,0
"STRAUGHTER, Corey",,0
"VALDEZ, Marcus",,93
"HENDERSON, Amari",Ottawa Redblacks,4
"MAUGER, Quincy",,20
"THOMAS, Brayden",,98
"MORELAND, Shamar",,0
"BAYLESS, Omar",,80
"HEILIGH, Jaivon",,0
"CHAMBERS, Isaiah",,75
"HOOD, Delonte",Toronto Argonauts,14
"ZYNOMIRSKI, Zach",,0
"SAILS, KJ",,0
"SHIVERS, Shaun",,28
"GAITHER, Bailey",,77
"CARBONE, Joe",,85
"HOFFMAN, Sirgeo",,0
"HAYDEL, Jeremiah",,82
"BELLAMY, LeVante",,34
"WEBSTER, Ken",,0
"JONES, Tony",Winnipeg Blue Bombers,33
"EGUAVOEN, Ente",,0
"BONNER, Logan",Calgary Stampeders,17
"VOGEL, Nicholas",,49
"THOMAS, La'Andre",,0
"BRYANT, Ventell",,0
"OLMSTEAD, Christian",BC Lions,0
"BRICE, Chase",BC Lions,7
"MCGIRT JR., Emanuel",,0
"BONDS, Terrell",Winnipeg Blue Bombers,24
"Lewis Jr., Donnie",,1
"WRIGHT, Isaiah",,0
"CORBY, Will",,0
"SCARLETT, Cameron",,21
"THOMPSON, B.J.",,99
"EJIOFOR, Duke",,0
"NELSON, Chris",,92
"PERRY, N'Kosi",,0
"COXIE, Damonte",Toronto Argonauts,86
"SIMPSON, Shane",,0
"ARMSTRONG, Brennan",,0
"MILLIGAN, Rolan",Saskatchewan Roughriders,0
"JONES, Jahair",,0
"BURMEISTER, Braxton",Winnipeg Blue Bombers,0
"WARE, Aca'Cedric",,42
"PIMPLETON, Kalil",Ottawa Redblacks,83
"MILLS, Dedrick",Calgary Stampeders,26
"PARKER, Aaron",,0
"PREVILON, Willington",,52
"RENDER, Tyshun",,94
